Number of Rows (Aggregated),avg_age,age_stddev,CODED_PARTY_AFFILIATION,CITY,Score,General,Primary,Special
21,46.095238095,20.287692727,-0.285714286,WILLARD CITY,0.178661387,0.325772783,0.087832406,0
417,48.609112710,18.031708541,0.009592326,AURORA CITY,0.171236717,0.290764084,0.061987686,0.018808777
43,47.465116279,19.490350283,-0.186046512,KENTON CITY,0.166562819,0.307957650,0.073554514,0.053571429
185,45.837837838,16.996024972,-0.129729730,SIDNEY CITY,0.136013223,0.235785841,0.053663568,0.002469136
696,42.153735632,16.010452983,-0.001436782,PATASKALA CITY,0.063446747,0.110286184,0.021845117,0.010845987
76,52.697368421,19.003171480,0.302631579,HUBBARD CITY,0.246242581,0.397421615,0.144001985,0.213114754
52,47.596153846,16.974328501,-0.076923077,IRONTON CITY,0.189483557,0.366097873,0.072286047,0.128205128
113,45.079646018,18.237589515,-0.053097345,MOUNT VERNON CITY,0.147286394,0.243360127,0.064477344,0.006666667
674,47.838278932,18.779528404,-0.014836795,KETTERING CITY,0.165586557,0.303596163,0.070041125,0.027139875
100,51.33,18.910237193,-0.14,WASHINGTON C.H. CITY,0.120572174,0.233654240,0.039968455,0
220,48.527272727,19.328786628,0.022727273,SPRINGDALE CITY,0.090348281,0.188337373,0.024774584,0.010802469
53,51.603773585,19.003379884,0.075471698,MARTINS FERRY CITY,0.153146069,0.273895627,0.072237197,0.113636364
510,48.113725490,17.951331494,0.062745098,MONTGOMERY CITY,0.164681172,0.299165642,0.054182599,0.004464286
41,47.341463415,20.388243863,0.195121951,PORT CLINTON CITY,0.181806641,0.328049389,0.060241825,0.066666667
79,42.822784810,14.986968265,-0.164556962,TRENTON CITY,0.116106503,0.227665138,0.030282132,0.025423729
288,45.909722222,17.643157884,-0.003472222,WADSWORTH CITY,0.146702434,0.281441410,0.049561396,0.014612954
1230,41.956097561,15.227529278,0.063414634,COLUMBUS CITY,0.075677566,0.147274788,0.016435317,0.003645200
2457,43.067155067,17.892662220,0.120065120,TOLEDO CITY,0.132002312,0.246426779,0.050425933,0.030646236
177,42.920903955,18.749377665,0.209039548,TROTWOOD CITY,0.146348198,0.275093370,0.051428302,0.036507937
132,50.363636364,17.950854336,0.151515152,MUNROE FALLS CITY,0.128108165,0.238437735,0.043564698,0.025700935
96,46.645833333,17.462126938,0,BELLEFONTAINE CITY,0.128112113,0.231674968,0.058864772,0.065972222
167,50.898203593,19.928678473,0.023952096,WICKLIFFE CITY,0.170667690,0.326885973,0.060988666,0.08984375
776,50.682989691,18.390460903,0.006443299,MENTOR CITY,0.157083344,0.305878026,0.057906349,0.010399784
544,42.652573529,15.436875346,0.033088235,PICKERINGTON CITY,0.106669629,0.197369684,0.033209416,0.011749347
248,47.794354839,17.200003778,0.076612903,WESTERVILLE CITY,0.160935573,0.315024937,0.051914033,0.032894737
172,43.848837209,17.394303996,-0.034883721,PAINESVILLE CITY,0.127626222,0.233382130,0.053770508,0.016806723
406,45.305418719,18.345661046,0.231527094,YOUNGSTOWN CITY,0.156388101,0.265146398,0.084395606,0.047833935
163,47.049079755,17.874667805,-0.055214724,ALLIANCE CITY,0.153381462,0.302305720,0.059326595,0.024637681
525,50.529523810,18.313157597,-0.032380952,BRUNSWICK CITY,0.178613227,0.308353386,0.087935425,0.033692185
19,53.157894737,22.696703524,0.315789474,UHRICHSVILLE CITY,0.227627928,0.368720365,0.144987469,0.053571429
86,45.383720930,15.768299252,-0.244186047,HARRISON CITY,0.123589672,0.250732141,0.044547467,0.003787879
139,45.330935252,18.287712074,0.028776978,DEFIANCE CITY,0.175550955,0.314823251,0.074739627,0.045212766
102,52.823529412,20.634687591,0.058823529,RAVENNA CITY,0.184563434,0.336797720,0.076165693,0.141975309
117,49.521367521,18.972574712,0.025641026,NORTON CITY,0.174843891,0.333353175,0.069173754,0.075581395
381,49.154855643,18.540983304,-0.028871391,MANSFIELD CITY,0.139904872,0.268535848,0.059164255,0.023131673
360,47.741666667,19.658007434,0.111111111,TALLMADGE CITY,0.140887463,0.257834672,0.059998037,0.069240196
50,50.16,20.032993194,0.02,GENEVA CITY,0.179949265,0.308694950,0.098643437,0.064285714
184,50.043478261,18.802053744,0.038043478,WILLOUGHBY HILLS CITY,0.170676640,0.309134348,0.065665263,0.039285714
1062,43.928436911,16.452730142,0.045197740,REYNOLDSBURG CITY,0.057560807,0.121407272,0.009759852,0.002024291
79,54.607594937,20.653687646,-0.126582278,BRYAN CITY,0.201466242,0.349167913,0.099176239,0.040983607
51,51.941176471,18.857796016,-0.098039216,ST. MARYS CITY,0.208023437,0.354522966,0.118720734,0.051282051
212,48.632075472,19.558067860,0.051886792,WILLOWICK CITY,0.205319955,0.362793229,0.086402876,0.057565789
45,50.466666667,20.320835702,-0.177777778,HILLSBORO CITY,0.144797077,0.261670595,0.052243190,0
179,44.273743017,17.616320732,0.022346369,SANDUSKY CITY,0.122288568,0.244845270,0.039542108,0.028225806
79,49.898734177,18.021778091,-0.202531646,SALEM CITY,0.172616966,0.324858368,0.067453788,0.011904762
107,47.570093458,19.793324656,0.037383178,NORWALK CITY,0.173041232,0.310620580,0.073284309,0.023026316
