population,avg_age,CODED_PARTY_AFFILIATION,age_stddev,RESIDENTIAL_ZIP,Score,General,Primary,Special
506,47.893280632,-0.019762846,18.389635326,45440,0.157360733,0.282656666,0.071150471,0.035112360
38,43.973684211,-0.157894737,18.994290525,43019,0.157270499,0.280255439,0.050139384,0.01
107,48.495327103,-0.102803738,16.518927870,45068,0.179252526,0.338872583,0.069797228,0.074712644
301,50.212624585,-0.342192691,19.010557771,44024,0.241928937,0.440976977,0.111435012,0.008583691
395,45.405063291,0.050632911,17.389330257,45211,0.130066168,0.267006570,0.037012135,0.017835178
20,49.6,-0.1,21.112231426,45656,0.142944601,0.297385281,0.042142857,0
79,50.481012658,-0.050632911,18.534694259,45885,0.178901259,0.318501354,0.089194722,0.033333333
1,31,0,,45378,0.11627907,0.235294118,0.038461538,
408,45.544117647,0.205882353,17.851641256,43209,0.170339918,0.313882587,0.064026727,0.022260274
872,43.157110092,0.209862385,17.155447730,44107,0.141165396,0.253517314,0.061964814,0.004159239
21,47.761904762,-0.047619048,20.354126761,43845,0.198934837,0.342433862,0.111564626,0.016666667
152,51.631578947,-0.157894737,20.956177616,45233,0.253748502,0.478003559,0.094754491,0.015625
372,44.827956989,0.177419355,18.776669389,43606,0.157172398,0.272422652,0.052466920,0.024801587
329,51.161094225,0.091185410,19.339904249,44203,0.182637678,0.327311157,0.080292636,0.137159533
80,53.9,-0.3125,17.126188400,43105,0.239556737,0.432007096,0.120631267,0.072463768
860,46.003488372,-0.019767442,17.852356243,45431,0.110205322,0.204357910,0.040079939,0.012437811
10,35.8,-0.1,16.477594215,45832,0.117151532,0.234835310,0.050632701,0
186,42.505376344,0.102150538,16.508555460,44301,0.098480351,0.191566497,0.030644384,0.020114943
5,59.6,-0.6,25.205158202,43407,0.211764706,0.457,0.057142857,0
9,48.333333333,-0.111111111,19.602295784,43748,0.098958333,0.164444444,0.053968254,0.125
170,50.229411765,-0.123529412,19.806467915,44057,0.212974630,0.368809364,0.100395354,0.173441734
1,59,-1,,45328,0.328125,0.56,0.2,0
463,48.799136069,-0.034557235,18.864309257,44646,0.185972837,0.328649637,0.076297097,0.046597633
96,43.4375,0.010416667,13.827366077,44264,0.134363866,0.262899251,0.047374440,0.023504274
14,64.071428571,-0.071428571,18.561599258,44695,0.397321429,0.548571429,0.129670330,0.038461538
3,32.666666667,0.333333333,8.386497084,44506,0.1,0.15942029,0.068627451,0
8,37.875,-0.25,14.923016738,43341,0.230282738,0.438125,0.095467033,0.0625
810,43.806172840,0.1,16.414462296,43231,0.072231281,0.140804085,0.021210849,0.007785467
7,35.142857143,0.142857143,7.537209285,45867,0.185431911,0.338285893,0.097583841,0
297,47.323232323,0.084175084,19.273368555,44125,0.145091478,0.277091116,0.057606507,0.001196172
8,42.625,0.125,17.054010840,45153,0.190585095,0.329096320,0.102455357,0
32,53.5625,-0.28125,15.951413124,44824,0.289689851,0.504944196,0.129604322,0.074074074
2,53.5,0.5,17.677669530,43930,0.171875,0.28,0.114285714,0
442,51.662895928,0.009049774,19.104366153,45434,0.172028407,0.310698761,0.071434491,0.031996180
722,49.074792244,0.036011080,18.082487878,44147,0.154497499,0.273028623,0.063679281,0.002220249
9,44.444444444,-0.111111111,19.831232382,43779,0.123857283,0.237466069,0.045010327,0.041666667
