Number of Rows (Aggregated),avg_age,age_stddev,CODED_PARTY_AFFILIATION,CITY,Score,General,Primary,Special
1,65,,0,BELLE VALLEY,0.21875,0.4,0.114285714,0
1117,43.396598030,16.518896182,0.023276634,PICKERINGTON,0.115936528,0.211472983,0.039100203,0.022490222
26,53.615384615,18.819302693,-0.230769231,ARCHBOLD,0.188508760,0.333921869,0.083879185,0.011904762
7,51.142857143,12.667919738,-0.142857143,FLEMING,0.112703634,0.243116883,0.032653061,0
5,67,21.365860619,-0.4,NORTH KINGSVILLE,0.154779412,0.322,0.046666667,0.05
4,47.75,9.251126058,0,MIDVALE,0.095028409,0.193809524,0.028571429,0.0625
149,51.852348993,18.908162058,-0.127516779,INDEPENDENCE,0.191173309,0.347810297,0.086350477,0.075
1,27,,0,SEDALIA,0.285714286,0.583333333,0.0625,
316,50.939873418,19.406909062,-0.028481013,MIDDLEBURG HTS,0.152620370,0.288714603,0.059510887,0.031120332
32,47.5,20.117397382,-0.15625,BELMONT,0.131776694,0.263436824,0.045870536,0.022727273
11,45.636363636,16.842046950,0.181818182,NORTH BENTON,0.176704545,0.301212121,0.093112948,0.09375
9,45.111111111,20.636402572,-0.222222222,PATRIOT,0.178468757,0.369814815,0.055135387,0
106,42.594339623,19.085660687,-0.056603774,RIVERSIDE,0.108755020,0.204894126,0.037524849,0.012711864
1,30,,0,CARBON HILL,0,0,0,
10,42.6,16.547574512,-0.1,SCIO,0.127740422,0.276365942,0.031601732,0
5,52.2,11.031772296,0,KALIDA,0.183297414,0.381090909,0.064242424,0
16,54.8125,18.465169915,0.125,LUCAS,0.225572237,0.414895833,0.111293828,0.038461538
38,45.947368421,19.845276337,-0.315789474,COLUMBUS GROVE,0.302078952,0.482080200,0.116747122,0.06
68,49.485294118,17.810354733,-0.294117647,PEEBLES,0.163323858,0.330180564,0.057758168,0.004716981
62,51.387096774,15.707735213,-0.129032258,ORIENT,0.141393969,0.274848536,0.057801572,0.027272727
59,45.338983051,17.140001780,-0.237288136,GARRETTSVILLE,0.224818890,0.404808011,0.073334465,0.041666667
85,48.505882353,18.868986604,0.035294118,NAPOLEON,0.147143062,0.266563092,0.062255405,0.011904762
45,51.377777778,18.844204425,-0.044444444,OAKWOOD,0.205763984,0.390366307,0.097057630,0
2,32,2.828427125,0,MOWRYSTOWN,0.049930971,0.13125,0,0
7,52.714285714,17.528208558,-0.142857143,LONG BOTTOM,0.125,0.257142857,0.040816327,0.041666667
209,47.334928230,18.446199711,-0.038277512,DEFIANCE,0.182927684,0.330949041,0.081882588,0.039473684
43,53.860465116,17.358381255,-0.232558140,WEST SALEM,0.150403055,0.299482126,0.056958256,0.027027027
2,74,5.656854249,-1,BELLECENTER,0.515625,0.78,0.357142857,0.25
333,47.975975976,17.627658973,0.075075075,STREETSBORO,0.126426757,0.239452150,0.049242303,0.053763441
26,41.769230769,15.129594026,-0.230769231,DRESDEN,0.224839855,0.339742518,0.055629651,0
136,47.117647059,19.197630573,-0.051470588,NORWALK,0.180212593,0.328711750,0.076130819,0.0234375
20,49.3,16.118312567,-0.15,MAGNOLIA,0.179734225,0.383622294,0.051663844,0.014705882
43,52,18.491954492,-0.418604651,BURTON,0.263508471,0.472934481,0.127479301,0.131313131
111,42.180180180,18.316012963,0.261261261,TROTWOOD,0.137714975,0.269649133,0.050873238,0.03125
590,47.855932203,17.098970582,0.008474576,AURORA,0.151321483,0.266728102,0.051852732,0.016811280
44,47.045454545,16.143188564,-0.363636364,NASHPORT,0.161367793,0.313080920,0.065539865,0
5,45,17.986105749,0.2,CLARINGTON,0.184625,0.346989899,0.068571429,0.166666667
221,50.945701357,19.174005654,0.009049774,AMHERST,0.170995253,0.315046503,0.076206866,0.068047337
71,48.352112676,16.379515597,-0.112676056,COLUMBIA STA,0.210678007,0.382654114,0.098463576,0.080508475
2,40.5,0.707106781,0,ST JOHNS,0.171875,0.4,0.028571428,0
67,51.895522388,18.357670619,0.104477612,MARTINS FERRY,0.161657125,0.288134921,0.079821671,0.09375
55,48.8,20.643714854,0.054545455,MANTUA,0.167155592,0.304146016,0.078089192,0.108974359
90,52.766666667,19.564959505,0.011111111,PORT CLINTON,0.183709859,0.341302277,0.070168500,0.068493151
662,43.370090634,15.779701615,0.024169184,GALLOWAY,0.087668819,0.172874602,0.024738794,0.012186380
1,31,,0,VERONA,0.11627907,0.235294118,0.038461538,
2,68.5,24.748737342,0,RIO GRANDE,0.015625,0.04,0,0
5,43.8,15.770225109,0.2,CLAY CENTER,0.1125,0.192,0.078571429,0.0625
2,43,5.656854249,0,SAGAMORE HILLS,0.0625,0.16,0,0
