Zip Code,Population
44074,"11,487"
45209,"11,225"
43103,"11,218"
45875,"11,207"
45305,"11,172"
45404,"11,150"
45122,"11,088"
44026,"10,967"
44890,"10,936"
45806,"10,923"
45206,"10,713"
45833,"10,667"
44471,"10,618"
45157,"10,088"
43351,"10,056"
43410,"9,950"
43338,"9,938"
45669,"9,844"
45439,"9,809"
44444,"9,776"
44117,"9,768"
44657,"9,762"
44662,"9,748"
45107,"9,730"
45402,"9,696"
44632,"9,670"
44615,"9,662"
44408,"9,654"
45176,"9,521"
44481,"9,441"
45764,"9,374"
44216,"9,353"
45216,"9,313"
45225,"9,285"
43724,"9,237"
44502,"9,224"
44813,"9,148"
45714,"9,120"
45327,"9,115"
43604,"9,067"
44707,"8,982"
45692,"8,964"
44028,"8,938"
45693,"8,935"
45154,"8,927"
44231 and 45121,"8,922"
43019,"8,786"
43935,"8,735"
43964,"8,727"
44270,"8,711"
43076,"8,664"
44047,"8,661"
45123,"8,643"
45050,"8,625"
44710,"8,585"
43764,"8,557"
44606,"8,517"
44115,"8,515"
44230,"8,502"
44714,"8,495"
44681,"8,442"
43906,"8,344"
44683,"8,292"
43515,"8,254"
43449,"8,246"
43028,"8,204"
44703,"8,156"
44255,"8,140"
44311,"8,062"
43011,"8,018"
43203,"8,014"
45810,"8,006"
44233,"7,967"
44303,"7,899"
"43105, 45214, and 44405","7,895"
44287,"7,793"
43566,"7,776"
43543,"7,697"
43315,"7,668"
45232,"7,629"
45619,"7,627"
45660,"7,402"
43619,"7,386"
45430,"7,334"
44273,"7,331"
43571,"7,312"
45304,"7,305"
45661,"7,268"
43162,"7,225"
43617,"7,192"
43832,"7,189"
44627,"7,177"
44413,"7,176"
44889,"7,149"
44081,"7,137"
45217,"7,085"
45335,"7,033"
44201,"6,955"
45207,"6,927"
45383,"6,924"
44114,"6,896"
45817,"6,862"
44827,"6,832"
45769,"6,796"
43713,"6,764"
44618,"6,711"
43502,"6,532"
44050,"6,517"
43460,"6,471"
45345,"6,415"
44307,"6,413"
43912,"6,390"
43334,"6,337"
45828,"6,295"
43968,"6,283"
45311,"6,249"
45663,"6,228"
45879,"6,173"
45656,"6,170"
44286,"6,126"
44021,"6,080"
43344,"6,052"
45314,"6,042"
45416,"6,016"
45171,"5,997"
43526,"5,875"
45651,"5,867"
43316,"5,856"
43830,"5,855"
43762,"5,769"
45830,"5,718"
44730,"5,711"
43072,"5,704"
43143,"5,660"
43620,"5,559"
45380,"5,520"
43907,"5,514"
45204,"5,506"
44902,"5,504"
45318,"5,480"
45226,"5,478"
43465,"5,463"
43731,"5,437"
44612,"5,423"
44624,"5,400"
